Date,Apple,Amazon,DBS
8/18/2020,115.5625,165.624496,20.879999
8/19/2020,115.707497,163.024002,20.719999
8/20/2020,118.275002,164.8685,20.73
8/21/2020,124.370003,164.235992,20.790001
8/24/2020,125.857498,165.373001,20.99
8/25/2020,124.824997,167.324493,20.68
8/26/2020,126.522499,172.092499,20.459999
8/27/2020,125.010002,170,20.76
8/28/2020,124.807503,170.089996,20.870001
8/31/2020,129.039993,172.548004,20.870001
9/1/2020,134.179993,174.955994,20.870001
9/2/2020,131.399994,176.572495,20.76
9/3/2020,120.879997,168.399994,20.68
9/4/2020,120.959999,164.731003,20.719999
9/8/2020,112.82,157.492004,20.65
9/9/2020,117.32,163.430496,20.52
9/10/2020,113.489998,158.755493,20.540001
9/11/2020,112,155.811005,20.51
9/14/2020,115.360001,155.148499,20.459999
9/15/2020,115.540001,157.806503,20.35
9/16/2020,112.129997,153.904999,20.290001
9/17/2020,110.339996,150.436493,20.02
9/18/2020,106.839996,147.745499,20.049999
9/21/2020,110.080002,148.023499,19.99
9/22/2020,111.809998,156.449493,19.74
9/23/2020,107.120003,149.992996,19.889999
9/24/2020,108.220001,150.989502,19.799999
9/25/2020,112.279999,154.7565,20.01
9/28/2020,114.959999,158.702499,20.219999
9/29/2020,114.089996,157.244003,19.98
9/30/2020,115.809998,157.436493,19.91
10/1/2020,116.790001,161.063004,20.4
10/2/2020,113.019997,156.25,20.370001
10/5/2020,116.5,159.960007,20.58
10/6/2020,113.160004,154.998001,20.709999
10/7/2020,115.080002,159.7845,20.870001
10/8/2020,114.970001,159.527496,21.02
10/9/2020,116.970001,164.332504,21.049999
10/12/2020,124.400002,172.1465,21.4
10/13/2020,121.099998,172.181503,21.59
10/14/2020,121.190002,168.185501,21.32
10/15/2020,120.709999,166.932495,21.07
10/16/2020,119.019997,163.635498,21.389999
10/19/2020,115.980003,160.360504,21.57
10/20/2020,117.510002,160.850494,21.299999
10/21/2020,116.870003,159.246994,21.25
10/22/2020,115.75,158.820007,21.440001
10/23/2020,115.040001,160.220001,21.549999
10/26/2020,115.050003,160.352005,21.299999
10/27/2020,116.599998,164.316498,21.32
10/28/2020,111.199997,158.139008,20.9
10/29/2020,115.32,160.550507,20.559999
10/30/2020,108.860001,151.807495,20.35
11/2/2020,108.769997,150.223999,20.629999
11/3/2020,110.440002,152.420502,21.43
11/4/2020,114.949997,162.057999,21.549999
11/5/2020,119.029999,166.100006,22.43
11/6/2020,118.690002,165.568497,22.49
11/9/2020,116.32,157.186996,22.950001
11/10/2020,115.970001,151.751007,24.4
11/11/2020,119.489998,156.869507,24.4
11/12/2020,119.209999,155.514008,23.969999
11/13/2020,119.260002,156.440506,23.879999
11/16/2020,120.300003,156.552994,24.219999
11/17/2020,119.389999,156.783005,24.65
11/18/2020,118.029999,155.272995,24.629999
